Title,Description,Authors,Publisher,PublishedDate,Categories,RatingsCount,AverageRating
The Pragmatic Programmer,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05
Clean Code,Insightful discussion about Clean Code.,Robert C. Martin,O'Reilly Media,2011-02-02,software engineering,2303,3.49
Effective Python,Insightful discussion about Effective Python.,Brett Slatkin,No Starch Press,2012-03-03,data,1193,4.47
Designing Data-Intensive Applications,Insightful discussion about Designing Data-Intensive Applications.,Martin Kleppmann,Manning,2013-04-04,machine learning,4517,3.17
Deep Learning with Python,Insightful discussion about Deep Learning with Python.,Francois Chollet,Addison-Wesley,2014-05-05,architecture,3506,3.06
Hands-On Machine Learning,Insightful discussion about Hands-On Machine Learning.,Aurelien Geron,O'Reilly Media,2015-06-06,programming,817,3.44
Introduction to Algorithms,Insightful discussion about Introduction to Algorithms.,Thomas H. Cormen,No Starch Press,2016-07-07,software engineering,4189,4.2
Python Data Science Handbook,Insightful discussion about Python Data Science Handbook.,Jake VanderPlas,Manning,2017-08-08,data,4647,3.4
Data Pipelines Pocket Reference,Insightful discussion about Data Pipelines Pocket Reference.,James Densmore,Addison-Wesley,2018-09-09,machine learning,4514,3.84
Building Microservices,Insightful discussion about Building Microservices.,Sam Newman,O'Reilly Media,2019-10-10,architecture,3729,4.18
